Iteración,Entradas_X1,Entradas_X2,Pesos iniciales_W1,Pesos iniciales_W2,Yr,Yd,Error,Pesos finales_W1,Pesos finales_W2
56,0,1,-1.0013,0.1107,0,1,1,-1.0013,1.0107
56,1,0,-1.0013,1.0107,0,1,1,-0.1013,1.0107
56,1,1,-0.1013,1.0107,1,0,-1,-1.0013,0.1107
57,0,0,-1.0013,0.1107,1,0,-1,-1.0013,0.1107
57,0,1,-1.0013,0.1107,0,1,1,-1.0013,1.0107
57,1,0,-1.0013,1.0107,0,1,1,-0.1013,1.0107
57,1,1,-0.1013,1.0107,1,0,-1,-1.0013,0.1107
58,0,0,-1.0013,0.1107,1,0,-1,-1.0013,0.1107
58,0,1,-1.0013,0.1107,0,1,1,-1.0013,1.0107
58,1,0,-1.0013,1.0107,0,1,1,-0.1013,1.0107
58,1,1,-0.1013,1.0107,1,0,-1,-1.0013,0.1107
59,0,0,-1.0013,0.1107,1,0,-1,-1.0013,0.1107
59,0,1,-1.0013,0.1107,0,1,1,-1.0013,1.0107
59,1,0,-1.0013,1.0107,0,1,1,-0.1013,1.0107
59,1,1,-0.1013,1.0107,1,0,-1,-1.0013,0.1107
60,0,0,-1.0013,0.1107,1,0,-1,-1.0013,0.1107
60,0,1,-1.0013,0.1107,0,1,1,-1.0013,1.0107
60,1,0,-1.0013,1.0107,0,1,1,-0.1013,1.0107
60,1,1,-0.1013,1.0107,1,0,-1,-1.0013,0.1107
61,0,0,-1.0013,0.1107,1,0,-1,-1.0013,0.1107
61,0,1,-1.0013,0.1107,0,1,1,-1.0013,1.0107
61,1,0,-1.0013,1.0107,0,1,1,-0.1013,1.0107
61,1,1,-0.1013,1.0107,1,0,-1,-1.0013,0.1107
62,0,0,-1.0013,0.1107,1,0,-1,-1.0013,0.1107
62,0,1,-1.0013,0.1107,0,1,1,-1.0013,1.0107
62,1,0,-1.0013,1.0107,0,1,1,-0.1013,1.0107
62,1,1,-0.1013,1.0107,1,0,-1,-1.0013,0.1107
63,0,0,-1.0013,0.1107,1,0,-1,-1.0013,0.1107
63,0,1,-1.0013,0.1107,0,1,1,-1.0013,1.0107
63,1,0,-1.0013,1.0107,0,1,1,-0.1013,1.0107
63,1,1,-0.1013,1.0107,1,0,-1,-1.0013,0.1107
64,0,0,-1.0013,0.1107,1,0,-1,-1.0013,0.1107
64,0,1,-1.0013,0.1107,0,1,1,-1.0013,1.0107
64,1,0,-1.0013,1.0107,0,1,1,-0.1013,1.0107
64,1,1,-0.1013,1.0107,1,0,-1,-1.0013,0.1107
65,0,0,-1.0013,0.1107,1,0,-1,-1.0013,0.1107
65,0,1,-1.0013,0.1107,0,1,1,-1.0013,1.0107
65,1,0,-1.0013,1.0107,0,1,1,-0.1013,1.0107
65,1,1,-0.1013,1.0107,1,0,-1,-1.0013,0.1107
66,0,0,-1.0013,0.1107,1,0,-1,-1.0013,0.1107
66,0,1,-1.0013,0.1107,0,1,1,-1.0013,1.0107
66,1,0,-1.0013,1.0107,0,1,1,-0.1013,1.0107
66,1,1,-0.1013,1.0107,1,0,-1,-1.0013,0.1107
67,0,0,-1.0013,0.1107,1,0,-1,-1.0013,0.1107
67,0,1,-1.0013,0.1107,0,1,1,-1.0013,1.0107
67,1,0,-1.0013,1.0107,0,1,1,-0.1013,1.0107
67,1,1,-0.1013,1.0107,1,0,-1,-1.0013,0.1107
68,0,0,-1.0013,0.1107,1,0,-1,-1.0013,0.1107
68,0,1,-1.0013,0.1107,0,1,1,-1.0013,1.0107
68,1,0,-1.0013,1.0107,0,1,1,-0.1013,1.0107
68,1,1,-0.1013,1.0107,1,0,-1,-1.0013,0.1107
69,0,0,-1.0013,0.1107,1,0,-1,-1.0013,0.1107
69,0,1,-1.0013,0.1107,0,1,1,-1.0013,1.0107
69,1,0,-1.0013,1.0107,0,1,1,-0.1013,1.0107
69,1,1,-0.1013,1.0107,1,0,-1,-1.0013,0.1107
70,0,0,-1.0013,0.1107,1,0,-1,-1.0013,0.1107
70,0,1,-1.0013,0.1107,0,1,1,-1.0013,1.0107
70,1,0,-1.0013,1.0107,0,1,1,-0.1013,1.0107
70,1,1,-0.1013,1.0107,1,0,-1,-1.0013,0.1107
71,0,0,-1.0013,0.1107,1,0,-1,-1.0013,0.1107
71,0,1,-1.0013,0.1107,0,1,1,-1.0013,1.0107
71,1,0,-1.0013,1.0107,0,1,1,-0.1013,1.0107
71,1,1,-0.1013,1.0107,1,0,-1,-1.0013,0.1107
72,0,0,-1.0013,0.1107,1,0,-1,-1.0013,0.1107
72,0,1,-1.0013,0.1107,0,1,1,-1.0013,1.0107
72,1,0,-1.0013,1.0107,0,1,1,-0.1013,1.0107
72,1,1,-0.1013,1.0107,1,0,-1,-1.0013,0.1107
73,0,0,-1.0013,0.1107,1,0,-1,-1.0013,0.1107
73,0,1,-1.0013,0.1107,0,1,1,-1.0013,1.0107
73,1,0,-1.0013,1.0107,0,1,1,-0.1013,1.0107
